Date,Age,Salary,Department,Experience_Years
2023-01-01,56.0,32695.0,it,17
2023-01-02,46.0,78190.0,HR,1
2023-01-03,32.0,35258.0,HR,16
2023-01-04,60.0,117538.0,Finance,12
2023-01-05,25.0,69504.0,H.R.,19
2023-01-06,,63159.0,IT,14
2023-01-07,,43986.0,it,6
2023-01-08,,91858.0,Marketing,6
2023-01-09,,42666.0,IT,13
2023-01-10,,68660.0,H.R.,19
2023-01-11,,33561.0,Marketing,8
2023-01-12,,56854.0,Finance,2
2023-01-13,,94505.0,Finance,1
2023-01-14,,82251.0,HR,15
2023-01-15,,52662.0,H.R.,1
2023-01-16,,38392.0,it,5
2023-01-17,39.0,60535.0,Marketing,16
2023-01-18,19.0,108603.0,IT,19
2023-01-19,41.0,82256.0,H.R.,4
2023-01-20,61.0,119135.0,H.R.,3
2023-01-21,47.0,,Finance,17
2023-01-22,55.0,,HR,17
2023-01-23,19.0,,HR,12
2023-01-24,38.0,,Marketing,14
2023-01-25,50.0,,Finance,6
2023-01-26,29.0,,H.R.,3
2023-01-27,39.0,54538.0,it,9
2023-01-28,61.0,100592.0,Finance,5
2023-01-29,42.0,38110.0,Marketing,17
2023-01-30,44.0,109309.0,Marketing,14
2023-01-31,59.0,57266.0,Finance,3
2023-02-01,45.0,82992.0,Marketing,1
2023-02-02,33.0,112948.0,Finance,1
2023-02-03,32.0,36910.0,IT,3
2023-02-04,64.0,30206.0,Finance,18
2023-02-05,61.0,117054.0,Finance,10
2023-02-06,20.0,117897.0,Marketing,3
2023-02-07,54.0,53419.0,Marketing,8
2023-02-08,24.0,80636.0,HR,14
2023-02-09,38.0,80015.0,HR,18
2023-02-10,26.0,84268.0,,15
2023-02-11,56.0,117939.0,,2
2023-02-12,35.0,48141.0,,10
2023-02-13,21.0,110356.0,,2
2023-02-14,42.0,101910.0,,17
2023-02-15,31.0,86044.0,,8
2023-02-16,26.0,97214.0,IT,1
2023-02-17,43.0,63827.0,H.R.,9
2023-02-18,19.0,85820.0,IT,11
2023-02-19,37.0,92623.0,Finance,16
2023-02-20,45.0,111734.0,Marketing,7
2023-02-21,64.0,105450.0,IT,10
2023-02-22,24.0,52299.0,HR,3
2023-02-23,61.0,73585.0,Marketing,18
2023-02-24,25.0,94044.0,Marketing,13
2023-02-25,64.0,72557.0,HR,7
2023-02-26,52.0,79080.0,IT,4
2023-02-27,31.0,32693.0,HR,13
2023-02-28,34.0,99163.0,H.R.,1
2023-03-01,53.0,55939.0,Marketing,8
2023-03-02,57.0,78925.0,it,14
2023-03-03,21.0,72941.0,it,16
2023-03-04,19.0,51834.0,Finance,14
2023-03-05,23.0,48047.0,HR,12
2023-03-06,59.0,56105.0,HR,19
2023-03-07,21.0,105766.0,Finance,15
2023-03-08,46.0,45707.0,Finance,2
2023-03-09,35.0,51976.0,Finance,2
2023-03-10,43.0,74262.0,Marketing,19
2023-03-11,61.0,53776.0,H.R.,17
2023-03-12,51.0,60080.0,HR,10
2023-03-13,27.0,96842.0,Marketing,6
2023-03-14,53.0,91373.0,Finance,15
2023-03-15,31.0,36776.0,HR,11
2023-03-16,48.0,85016.0,Marketing,5
2023-03-17,32.0,39474.0,H.R.,1
2023-03-18,25.0,88053.0,Marketing,8
2023-03-19,31.0,51959.0,H.R.,12
2023-03-20,40.0,35530.0,Finance,12
2023-03-21,57.0,33748.0,H.R.,5
2023-03-22,38.0,43545.0,HR,7
2023-03-23,33.0,96199.0,Finance,4
2023-03-24,62.0,64766.0,HR,6
2023-03-25,35.0,103530.0,it,13
2023-03-26,64.0,91087.0,IT,15
2023-03-27,41.0,98840.0,H.R.,3
2023-03-28,43.0,84384.0,IT,8
2023-03-29,42.0,81005.0,IT,16
2023-03-30,62.0,76576.0,H.R.,13
2023-03-31,58.0,69353.0,Finance,18
2023-04-01,46.0,500000.0,it,10
2023-04-02,120.0,113211.0,HR,19
2023-04-03,62.0,82733.0,Marketing,17
2023-04-04,18.0,95318.0,HR,19
2023-04-05,42.0,119474.0,Marketing,5
2023-04-06,24.0,53664.0,HR,9
2023-04-07,26.0,97172.0,H.R.,12
2023-04-08,41.0,115616.0,it,1
2023-04-09,18.0,56736.0,Marketing,1
2023-04-10,61.0,30854.0,Finance,15
